01001|2925.0
01002|10307.0
01004_AM|3005.0
01009_AM|4599.0
01010|2951.0
01017_AM|4314.0
01028_AM|7515.0
01036|18009.0
01043|3418.0
01047_AM|3771.0
01051|5029.0
01054_AM|2636.0
01058_AM|4466.0
01059|253093.0
01063_AM|4120.0
01901|3468.0
02003|172722.0
02008_AM|4946.0
02009|24388.0
02010_AM|5058.0
02012_AM|5804.0
02019_AM|4959.0
02021_AM|5457.0
02024_AM|5318.0
02025|10077.0
02029|4344.0
02030|3557.0
02033_AM|8111.0
02034_AM|4405.0
02035_AM|4403.0
02037|30427.0
02045|4654.0
02053|3433.0
02063_AM|5239.0
02067_AM|4884.0
02069|15401.0
02072_AM|3501.0
02073_AM|7265.0
02074|7691.0
02075_AM|3932.0
02079|4040.0
02081|24978.0
02086_AM|4673.0
02901|2797.0
03002_AM|6597.0
03005_AM|14860.0
03006_AM|2824.0
03009|59128.0
03011|20495.0
03012|3396.0
03013_AM|2633.0
03014|337304.0
03015|24343.0
03018|22657.0
03019|21088.0
03021|7113.0
03023_AM|3327.0
03024|5453.0
03026_AM|5934.0
03028_AM|5524.0
03031|69118.0
03034_AM|5787.0
03035_AM|5262.0
03041|11462.0
03042|4447.0
03043|3628.0
03044_AM|9024.0
03046|3207.0
03047|23530.0
03048|7589.0
03049|19273.0
03050|29013.0
03053|10752.0
03055|8880.0
03056|11451.0
03058|7427.0
03059|29717.0
03063|42953.0
03064|7620.0
03065|234205.0
03066|52551.0
03069|7402.0
03070|4337.0
03071|6223.0
03074_AM|4567.0
03076|15983.0
03077|2634.0
03079|23652.0
03081|2892.0
03082|27983.0
03083|6861.0
03088|8500.0
03089|12188.0
03090|25679.0
03092_AM|10812.0
03093|25611.0
03094|18108.0
03095|7080.0
03096|7569.0
03097_AM|6159.0
03099|78940.0
03101|8006.0
03102|10240.0
03104|34009.0
03105|8142.0
03107|5069.0
03109|4597.0
03111|8058.0
03112_AM|3009.0
03113|15978.0
03114|2542.0
03118|8447.0
03119|24363.0
03120|6553.0
03121|34148.0
03122|58912.0
03123_AM|11577.0
03128|11466.0
03133|82842.0
03138|4841.0
03139|34684.0
03140|34025.0
03901|2721.0
03902|22597.0
03903|2184.0
04003|25501.0
04006|12070.0
04011_AM|5309.0
04013|200753.0
04016|3355.0
04017_AM|8576.0
04024|4526.0
04029|12708.0
04031|3547.0
04032|8183.0
04035|14623.0
04038|4102.0
04044_AM|4519.0
04045_AM|5568.0
04047_AM|4973.0
04048_AM|5466.0
04049|9875.0
04050_AM|5350.0
04052|17974.0
04053|19744.0
04057_AM|6119.0
04062_AM|6223.0
04064|7257.0
04066|31458.0
04069|6258.0
04070_AM|5749.0
04074|4143.0
04075|10342.0
04079|98725.0
04083_AM|3049.0
04086_AM|3871.0
04088_AM|6066.0
04092|3528.0
04093|3892.0
04098_AM|4682.0
04099|6521.0
04100|17700.0
04101|6039.0
04102|27398.0
04902|84005.0
04903|9086.0
04904|2959.0
05002_AM|4893.0
05013_AM|4665.0
05014_AM|6862.0
05016|7881.0
05019|57949.0
05021_AM|4814.0
05047|5049.0
05054_AM|5123.0
05057|3246.0
05102_AM|4476.0
05114_AM|5055.0
05163_AM|6986.0
05168_AM|5504.0
05186_AM|4405.0
05204_AM|5016.0
05220_AM|5246.0
05238_AM|5593.0
05240_AM|6227.0
05241_AM|4772.0
05242_AM|4659.0
06002|5467.0
06005_AM|6889.0
06006|5245.0
06011|33741.0
06012_AM|6330.0
06014|7702.0
06015|150610.0
06016_AM|5190.0
06019_AM|7780.0
06020_AM|3848.0
06022|3076.0
06023|4732.0
06025|6152.0
06028|4823.0
06033_AM|3718.0
06036_AM|8133.0
06039_AM|3892.0
06044_AM|39214.0
06050|4811.0
06051_AM|3726.0
06052_AM|5405.0
06054|6704.0
06055_AM|6322.0
06058_AM|4793.0
06059_AM|2806.0
06060_AM|9251.0
06063|3465.0
06066_AM|5430.0
06067_AM|3219.0
06069_AM|5240.0
06070_AM|10658.0
06072|2760.0
06074_AM|7348.0
06080_AM|3906.0
06083|59424.0
06085_AM|6297.0
06087_AM|3120.0
06088|15483.0
06091|4392.0
06093_AM|5798.0
06094_AM|5653.0
06095|11871.0
06097_AM|3702.0
06103|5861.0
06108|2665.0
06109|4576.0
06113_AM|5587.0
06117_AM|4721.0
06120|3957.0
06121|4094.0
06122|8064.0
06123_AM|7389.0
06125_AM|5009.0
06126_AM|4047.0
06127|3355.0
06128|5311.0
06135_AM|3209.0
06141_AM|4681.0
06143|4157.0
06149|12534.0
06153|25837.0
06154|3335.0
06155_AM|7727.0
06158|16786.0
06159|2780.0
06160_AM|5570.0
06162|3380.0
06901|2731.0
06903_AM|4454.0
07001|5741.0
07002|9477.0
07003|20651.0
07004|5963.0
07005|11571.0
07006|7984.0
07008|8895.0
07010|7037.0
07011|51567.0
07012_AM|3768.0
07013|11425.0
07014|12003.0
07015|30638.0
07016|4243.0
07020|5134.0
07022|18164.0
07023_AM|6392.0
07024|11708.0
07026|50643.0
07027|33726.0
07028_AM|2844.0
07029|6250.0
